,organization_id,date_day,new_customers,google_paid_search_spend,google_shopping_spend,google_pmax_spend,google_display_spend,google_video_spend,google_paid_search_clicks,google_shopping_clicks,google_pmax_clicks,google_display_clicks,google_video_clicks,google_paid_search_impressions,google_shopping_impressions,google_pmax_impressions,google_display_impressions,google_video_impressions,meta_facebook_spend,meta_instagram_spend,meta_other_spend,meta_facebook_clicks,meta_instagram_clicks,meta_other_clicks,meta_facebook_impressions,meta_instagram_impressions,meta_other_impressions,google_paid_search_ctr,google_shopping_ctr,google_pmax_ctr,meta_facebook_ctr,meta_instagram_ctr,meta_other_ctr,google_display_ctr,google_video_ctr,is_public_holiday,is_weekend,month,month_num
0,09113a73f8618b48b3cf53b24cd78d2f,2020-08-11,85,0.0,32.07,0.0,0.0,0.0,0.0,226.0,0.0,0.0,0.0,0.0,19153.0,0.0,0.0,0.0,291.74,0.0,0.0,758.0,0.0,0.0,67636.0,0.0,0.0,0.0,0.0118,0.0,0.0112,0.0,0.0,0.0,0.0,0,0,August,8
1,09113a73f8618b48b3cf53b24cd78d2f,2021-01-27,67,0.0,40.73,0.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,0.0,18095.0,0.0,0.0,0.0,242.18,0.0,0.0,1031.0,0.0,0.0,50776.0,0.0,0.0,0.0,0.0109,0.0,0.0203,0.0,0.0,0.0,0.0,0,0,January,1
2,09113a73f8618b48b3cf53b24cd78d2f,2021-04-08,81,0.0,132.7,0.0,0.0,0.0,0.0,356.0,0.0,0.0,0.0,0.0,49593.0,0.0,0.0,0.0,454.5,0.0,0.0,868.0,0.0,0.0,71909.0,0.0,0.0,0.0,0.0072,0.0,0.0121,0.0,0.0,0.0,0.0,0,0,April,4
3,09113a73f8618b48b3cf53b24cd78d2f,2021-09-12,89,79.77,108.21,0.0,0.0,0.0,153.0,305.0,0.0,7.0,0.0,3136.0,28284.0,0.0,588.0,0.0,73.21,27.22,0.0,177.0,159.0,0.0,10429.0,5943.0,0.0,0.0488,0.0108,0.0,0.017,0.0268,0.0,0.0119,0.0,0,1,September,9
4,09113a73f8618b48b3cf53b24cd78d2f,2022-10-25,63,0.0,0.0,377.27,0.0,0.0,0.0,0.0,605.0,0.0,0.0,0.0,0.0,80858.0,0.0,0.0,74.73,0.0,0.0,126.0,0.0,0.0,5213.0,0.0,0.0,0.0,0.0,0.0075,0.0242,0.0,0.0,0.0,0.0,0,0,October,10
5,09113a73f8618b48b3cf53b24cd78d2f,2023-11-30,111,0.0,0.0,665.32,0.0,0.0,0.0,0.0,925.0,0.0,0.0,0.0,0.0,92835.0,0.0,0.0,679.7,0.0,0.0,4873.0,0.0,0.0,111182.0,0.0,0.0,0.0,0.0,0.01,0.0438,0.0,0.0,0.0,0.0,0,0,November,11
6,09113a73f8618b48b3cf53b24cd78d2f,2024-02-27,32,0.0,0.0,393.45,0.0,0.0,0.0,0.0,715.0,0.0,0.0,0.0,0.0,71096.0,0.0,0.0,151.91,0.0,0.0,754.0,0.0,0.0,25293.0,0.0,0.0,0.0,0.0,0.0101,0.0298,0.0,0.0,0.0,0.0,0,0,February,2
7,2b15eedfc4faa6293dc4b3bf8c1c9c1f,2020-12-30,10,0.0,67.47,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,13266.0,0.0,0.0,0.0,474.41,0.0,0.0,452.0,0.0,0.0,26715.0,0.0,0.0,0.0,0.0029,0.0,0.0169,0.0,0.0,0.0,0.0,0,0,December,12
8,2b15eedfc4faa6293dc4b3bf8c1c9c1f,2021-01-20,10,0.0,90.71,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,14880.0,0.0,0.0,0.0,534.68,0.0,0.0,560.0,0.0,0.0,38960.0,0.0,0.0,0.0,0.0052,0.0,0.0144,0.0,0.0,0.0,0.0,0,0,January,1
9,2b15eedfc4faa6293dc4b3bf8c1c9c1f,2021-03-02,9,0.0,121.02,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.0,18371.0,0.0,0.0,0.0,309.36,0.0,0.0,262.0,0.0,0.0,15286.0,0.0,0.0,0.0,0.005,0.0,0.0171,0.0,0.0,0.0,0.0,0,0,March,3
